tax_block,tax_lot,council_district,address,bldgclass,ownername,unitsres,bbl,borocode,issue_date,violation_type_code,violation_number,violation_category,violation_type,house_maint_code_violate_count,is_tax_lien_sale_eligable,violation_count,has_tax_lien,has_violations,is_residential,unitsres_zero,zombie_score,likely_zombie,borough
6963,49,24.0,175-10 JEWEL AVENUE,A5,"LIN, LING",1.0,4069630049,4.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Queens
2763,352,17.0,741 WHITTIER STREET,C0,RAMJOHN  WAYNE,3.0,2027630352,2.0,20170712,AEUHAZ1,00191,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,1.0,1.0,1.0,1,1,1,0,5.5,1,Bronx
5297,3,39.0,4019 13 AVENUE,S2,4019 13 AVE LLC,2.0,3052970003,3.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,0,0,0.0,0,Brooklyn
5605,4,44.0,4313 13 AVENUE,S2,"4313 13 AVENUE, LLC",2.0,3056050004,3.0,20230425,LBLVIO,13080,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,0.0,0.0,0.0,0,1,0,0,2.0,0,Brooklyn
1860,53,36.0,1276 FULTON STREET,K2,FULTON NOSTRAND LLC,0.0,3018600053,3.0,19930816,LL6291,33492,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,0.0,0.0,0.0,0,1,0,1,3.0,0,Brooklyn
7756,51,45.0,1088 EAST 53 STREET,B3,BELINDA C WAUGH,2.0,3077560051,3.0,20140129,AEUHAZ1,00261,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,3.0,0.0,3.0,0,1,1,0,3.5,0,Brooklyn
1989,1,36.0,495 CLASSON AVENUE,M1,ELIM GOSPEL TABERNACLE,0.0,3019890001,3.0,20241201,EGRADE,2401148,V-DOB VIOLATION - ACTIVE,EGRADE-FAILURE TO POST ENERGY GRADE/SCORE                              NONE,0.0,0.0,0.0,0,1,0,1,3.0,0,Brooklyn
4197,13,50.0,213 3 STREET,B2,"YANG, JUSTIN",2.0,5041970013,5.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Staten Island
512,57,49.0,SANDS STREET,V0,SELVARANJINI SELVARAJ,0.0,5005120057,5.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,0,1,1.0,0,Staten Island
2763,352,17.0,741 WHITTIER STREET,C0,RAMJOHN  WAYNE,3.0,2027630352,2.0,20250222,C,25-00309,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,1.0,1.0,1.0,1,1,1,0,5.5,1,Bronx
8925,181,46.0,2720 GERRITSEN AVENUE,K1,DE NARDO ELIZABETH A,0.0,3089250181,3.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,0,1,1.0,0,Brooklyn
8616,26,46.0,143 WHITMAN DRIVE,A3,"BENSUSAN, DANIEL",1.0,3086160026,3.0,20111213,JVIOS,00665,V-DOB VIOLATION - ACTIVE,JVIOS-PRIVATE RESIDENTIAL ELEVATOR                                    ELEVATOROPTIONAL,0.0,0.0,0.0,0,1,1,0,2.0,0,Brooklyn
2647,23,33.0,577 LEONARD STREET,B9,577 LEONARD LLC,2.0,3026470023,3.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Brooklyn
5158,58,40.0,395 MARLBOROUGH ROAD,A1,"BIDIYANATH, JOE",1.0,3051580058,3.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Brooklyn
3612,8,41.0,931 THOMAS S BOYLAND ST,S2,931 THOMAS S BOYLAND STREET LLC,2.0,3036120008,3.0,20140515,LBLVIO,13579,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,2.0,1.0,2.0,1,1,0,0,6.0,1,Brooklyn
2856,57,49.0,261 MARYLAND AVENUE,B2,"LEUNG, MEI MEI",2.0,5028560057,5.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Staten Island
15931,40,31.0,145 BEACH 59 STREET,C1,"H20 HOLDING,",13.0,4159310040,4.0,20151001,LBLVIO,12490,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,14.0,1.0,14.0,1,1,1,0,12.0,1,Queens
1282,3,35.0,261 ROGERS AVENUE,S2,"FIGARO, YVES S",2.0,3012820003,3.0,19930816,LL6291,25914,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,0.0,1.0,0.0,1,1,0,0,5.0,0,Brooklyn
1778,27,21.0,37-10 111 STREET,M1,NEW YORK CHURCH/CHRIST,0.0,4017780027,4.0,20230630,LBLVIO,28832,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,0.0,0.0,0.0,0,1,0,1,3.0,0,Queens
5590,59,38.0,953 42 STREET,C2,HAPPY ENTERPRISE LLC,6.0,3055900059,3.0,20080103,LL6291,10093,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,13.0,1.0,13.0,1,1,1,0,11.5,1,Brooklyn
5614,7,38.0,4509 10 AVENUE,C2,"4509 TENTH,",6.0,3056140007,3.0,20020326,LL6291,23392,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,5.0,1.0,5.0,1,1,1,0,7.5,1,Brooklyn
1822,86,36.0,239 PUTNAM AVENUE,B9,KIMBERLY GEORGE,2.0,3018220086,3.0,19950829,LL6291,38125,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,10.0,1.0,10.0,1,1,1,0,10.0,1,Brooklyn
5030,8,40.0,457 ROGERS AVENUE,S2,TOWNSEND AVIS,2.0,3050300008,3.0,19940601,LL6291,10115,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,1.0,0.0,1.0,0,1,0,0,2.5,0,Brooklyn
2000,41,36.0,1191 FULTON STREET,K1,2755 KNAPP MANAGEMENT INC,0.0,3020000041,3.0,19960912,IMEGNCY,172/96,V-DOB VIOLATION - ACTIVE,IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL,0.0,1.0,0.0,1,1,0,1,6.0,1,Brooklyn
7011,7,24.0,76-12 175 STREET,A1,"WONG, MARIA KIT SZELEUNG",1.0,4070110007,4.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Queens
1268,34,35.0,524 EASTERN PARKWAY,M1,PHILADELPHIA THE CHURCH OF UNIVERSAL BRO THERHOOD,0.0,3012680034,3.0,20141031,EVCAT1,02059,V-DOB VIOLATION - ACTIVE,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST                               ELEVATORREQUIRED,0.0,0.0,0.0,0,1,0,1,3.0,0,Brooklyn
4729,53,45.0,232 EAST 58 STREET,A5,"SMITH, DOLORES",1.0,3047290053,3.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Brooklyn
908,126,50.0,WHITLOCK AVENUE,V0,"NOCE, JOSEPH J",0.0,5009080126,5.0,no violations,no violations,no violations,no violations,no violations,0.0,1.0,0.0,1,0,0,1,4.0,0,Staten Island
2652,27,33.0,181 NASSAU AVENUE,S2,181 NASSAU LLC,2.0,3026520027,3.0,20030319,LL6291,17851,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,1.0,0.0,1.0,0,1,0,0,2.5,0,Brooklyn
1294,1,35.0,80 CROWN STREET,W9,MEDGAR EVARS COLLEGE     RESEARCH FOUNDA TION CUNY,0.0,3012940001,3.0,20140331,EVCAT1,09049,V-DOB VIOLATION - ACTIVE,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST                               ELEVATORREQUIRED,0.0,0.0,0.0,0,1,0,1,3.0,0,Brooklyn
5608,31,38.0,4414 FT HAMILTON PARKWAY,S1,"ENGELBERG, DAVID",1.0,3056080031,3.0,20050131,LL6291,17798,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,0.0,1.0,0.0,1,1,0,0,5.0,0,Brooklyn
805,97,50.0,131 SUFFOLK AVENUE,B2,"MANDELL, MEIR",2.0,5008050097,5.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Staten Island
5331,13,13.0,3225 EAST TREMONT AVENUE,O2,3219 TREMONT PLACE LLC,0.0,2053310013,2.0,20170914,E,9027/612360,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,0.0,1.0,0.0,1,1,0,1,6.0,1,Bronx
5032,5,20.0,150-01 ROOSEVELT AVENUE,K4,MUNJOO REALTY CORP,0.0,4050320005,4.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,0,1,1.0,0,Queens
7778,24,46.0,1190 EAST 53 STREET,D4,KINGS VILLAGE CORP,156.0,3077780024,3.0,20020808,L1198,NRF53592,V-DOB VIOLATION - ACTIVE,L1198-LOCAL LAW 11/98 - FACADE                                        FACADE  REQUIRED,44.0,0.0,44.0,0,1,1,0,24.0,1,Brooklyn
1328,1,40.0,177 LINCOLN ROAD,C5,"WILSON, JOYCELYN",6.0,3013280001,3.0,20230630,LBLVIO,15866,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,3.0,0.0,3.0,0,1,1,0,3.5,0,Brooklyn
4699,13,45.0,370 EAST 52 STREET,C3,"MCALL LEWIS MORTGAGE, LLC",4.0,3046990013,3.0,no violations,no violations,no violations,no violations,no violations,0.0,1.0,0.0,1,0,1,0,3.0,0,Brooklyn
1762,72,33.0,242 SPENCER STREET,C1,551 DEKALB AVE. HDFC,8.0,3017620072,3.0,20230620,LBLVIO,34943,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,1.0,0.0,1.0,0,1,1,0,2.5,0,Brooklyn
1239,18,36.0,744 PARK PLACE,C1,744 PARK LLC,8.0,3012390018,3.0,20240923,LBLVIO,08243,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,7.0,1.0,7.0,1,1,1,0,8.5,1,Brooklyn
4959,13,20.0,35-05 FARRINGTON STREET,K4,SEUNG S. REALTY CORP.,0.0,4049590013,4.0,20070402,LL1081,03564,V-DOB VIOLATION - ACTIVE,LL1081-LOCAL LAW 10/81 - ELEVATOR                                      ELEVATOROPTIONAL,0.0,0.0,0.0,0,1,0,1,3.0,0,Queens
1305,1,35.0,355 ROGERS AVENUE,C7,219 REALTY GROUP,25.0,3013050001,3.0,19950829,LL6291,38303,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,64.0,1.0,64.0,1,1,1,0,37.0,1,Brooklyn
6817,4,48.0,1112 AVENUE R,C3,"1112 AVENUE R, BROOKLYN NY LLC",4.0,3068170004,3.0,no violations,no violations,no violations,no violations,no violations,32.0,1.0,32.0,1,0,1,0,19.0,1,Brooklyn
1305,76,35.0,227 SULLIVAN PLACE,C1,227 REALTY GROUP,27.0,3013050076,3.0,20210602,BENCH,00950,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK                                            NONE,38.0,1.0,38.0,1,1,1,0,24.0,1,Brooklyn
5007,19,20.0,149-34 35 AVENUE,W8,"FUNCTIONAL LIFE ACHIEVEMENT, INC.",0.0,4050070019,4.0,20140530,ACC1,09327,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION        ELEVATORREQUIRED,0.0,0.0,0.0,0,1,0,1,3.0,0,Queens
4169,38,37.0,145 MC KINLEY AVENUE,B3,RASHEED MOHAMMED,2.0,3041690038,3.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Brooklyn
5199,21,20.0,44-22 PARSONS BOULEVARD,I1,FLUSHING HOSPITAL & MEDICAL CENTER,0.0,4051990021,4.0,20160406,E,9027/572153,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,0.0,1.0,0.0,1,1,0,1,6.0,1,Queens
5357,1,39.0,504 BEVERLEY ROAD,C0,"SAFA, NURUS",3.0,3053570001,3.0,19880608,C,12C1,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,0.0,1.0,0.0,1,1,1,0,5.0,0,Brooklyn
7405,136,48.0,2115 AVENUE X,O5,GERNAT HOLDING INC,0.0,3074050136,3.0,20220413,AEUHAZ1,00217,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,0.0,1.0,0.0,1,1,0,1,6.0,1,Brooklyn
1928,72,33.0,525 DEKALB AVENUE,S0,525 DEKALB LLC,1.0,3019280072,3.0,20130301,LBLVIO,07894,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,0.0,0.0,0.0,0,1,0,0,2.0,0,Brooklyn
8521,61,46.0,2044 EAST 36 STREET,A1,THE MARIAN SEAVERS FAMILY TRUST C/O LAUR EN SEAVERS,1.0,3085210061,3.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Brooklyn
14020,14,32.0,160-18 83 STREET,A1,TUZZOLO BARBARA M,1.0,4140200014,4.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Queens
5589,37,39.0,1256 40 STREET,B2,1256 40 STREET LLC,2.0,3055890037,3.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Brooklyn
5376,33,13.0,2895 CODDINGTON AVENUE,B3,"MAURO, FRANK T",2.0,2053760033,2.0,no violations,no violations,no violations,no violations,no violations,0.0,1.0,0.0,1,0,1,0,3.0,0,Bronx
5620,4,38.0,4617 10 AVENUE,S2,"MALIK, SARAH",2.0,3056200004,3.0,no violations,no violations,no violations,no violations,no violations,3.0,1.0,3.0,1,0,0,0,4.5,0,Brooklyn
1781,21,21.0,111-22 37 AVENUE,A1,"COX, JR., WILMER",1.0,4017810021,4.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Queens
1971,11,36.0,138A LEXINGTON AVENUE,C7,140 LEXINGTON HOUSE LLC,21.0,3019710011,3.0,20230425,LBLVIO,17149,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,17.0,1.0,17.0,1,1,1,0,13.5,1,Brooklyn
7637,71,45.0,1834 FLATBUSH AVENUE,S2,1834 FLATBUSH AVENUE LLC,2.0,3076370071,3.0,20151001,LBLVIO,06110,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,0.0,0.0,0.0,0,1,0,0,2.0,0,Brooklyn
5431,48,20.0,45-53 PARSONS BOULEVARD,C0,"LI, MEI SHAN",3.0,4054310048,4.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Queens
5066,23,40.0,224 CLARKSON AVENUE,E9,"299 CLARKSON, LLC",0.0,3050660023,3.0,20050131,LL6291,17812,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,0.0,0.0,0.0,0,1,0,1,3.0,0,Brooklyn
5352,27,13.0,2838 LA SALLE AVENUE,A1,"GONZALEZ, ELIGIO",1.0,2053520027,2.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Bronx
3643,38,42.0,1034-38 ROCKAWAY AVENUE,M1,VITUCCI DOMINICK,0.0,3036430038,3.0,no violations,no violations,no violations,no violations,no violations,0.0,1.0,0.0,1,0,0,1,4.0,0,Brooklyn
5596,23,38.0,4217 NEW UTRECHT AVENUE,V1,HUMAN CARE SERVICES FOR FAMILES &  CHILD REN,0.0,3055960023,3.0,20211102,BENCH,00576,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK                                            NONE,0.0,1.0,0.0,1,1,0,1,6.0,1,Brooklyn
3639,14,50.0,243 LOCUST AVENUE,A2,"ARTHUR T. TRUSCELLI, CO-TRUSTEE",1.0,5036390014,5.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Staten Island
1255,79,35.0,789 LINCOLN PLACE,S2,GEORGE I WASHINGTON,2.0,3012550079,3.0,no violations,no violations,no violations,no violations,no violations,1.0,0.0,1.0,0,0,0,0,0.5,0,Brooklyn
7611,50,45.0,2388 NOSTRAND AVENUE,S2,2388 NOSTRAND CORP,2.0,3076110050,3.0,19970210,LL6291,31374,V-DOB VIOLATION - ACTIVE,LL6291-LOCAL LAW 62/91 - BOILERS                                       BOILER  REQUIRED,0.0,1.0,0.0,1,1,0,0,5.0,0,Brooklyn
4767,29,45.0,420 EAST 57 STREET,B1,"STEWART, BRITTANY",2.0,3047670029,3.0,no violations,no violations,no violations,no violations,no violations,0.0,1.0,0.0,1,0,1,0,3.0,0,Brooklyn
5090,15,40.0,106 MARTENSE STREET,B3,CLARISSA BROWN,2.0,3050900015,3.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Brooklyn
5219,4,45.0,1908 NEWKIRK AVENUE,C1,"NEWKIRK NOSTRAND EAST SPE OWNER, LLC",22.0,3052190004,3.0,20240923,LBLVIO,11651,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,44.0,1.0,44.0,1,1,1,0,27.0,1,Brooklyn
1822,7,36.0,1153 BEDFORD AVENUE,C1,AFL REO LLC,8.0,3018220007,3.0,20230620,LBLVIO,39236,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED,0.0,1.0,0.0,1,1,1,0,5.0,0,Brooklyn
16092,24,31.0,7013 CATAMARAN WAY,B2,"LEVEILLE, KIMBERLY",2.0,4160920024,4.0,no violations,no violations,no violations,no violations,no violations,0.0,0.0,0.0,0,0,1,0,0.0,0,Queens
